1,00:00:00.248,00:00:06.368,['music']
2,00:00:06.368,00:00:10.308,"[u'thi', u'lectur', u'implement', 'text', u'retriev', u'system']"
3,00:00:12.878,00:00:17.327,"['In', u'lectur', u'discuss', 'implement', 'text']"
4,00:00:17.327,00:00:20.768,"[u'retriev', 'method', 'build', 'search', u'engin']"
5,00:00:20.768,00:00:24.753,"['the', 'main', u'challeng', u'manag', 'lot', 'text', 'data']"
6,00:00:24.753,00:00:30.698,"[u'enabl', u'queri', u'answer', u'quickli', 'respond', u'mani', u'queri']"
7,00:00:30.698,00:00:34.858,"[u'thi', u'typic', 'text', u'retriev', 'system', u'architectur']"
8,00:00:34.858,00:00:39.805,"['We', 'see', u'document', 'first', u'process', u'token']"
9,00:00:39.805,00:00:43.498,"['get', u'token', u'unit', u'exampl', u'word']"
10,00:00:43.498,00:00:48.058,"['and', u'word', u'token', u'process']"
11,00:00:48.058,00:00:53.188,"[u'index', u'creat', 'index', 'data', u'structur']"
12,00:00:53.188,00:00:57.280,"['search', u'engin', 'use', u'quickli', 'answer', u'queri']"
13,00:00:57.280,00:01:01.830,"['and', u'queri', 'would', u'go', 'similar', u'process', 'step']"
14,00:01:01.830,00:01:05.761,"['So', u'token', 'would', u'appris', u'queri', 'well']"
15,00:01:05.761,00:01:09.200,"['text', u'process', 'way']"
16,00:01:09.200,00:01:12.960,"['the', u'unit', 'would', u'match']"
17,00:01:12.960,00:01:17.604,"['the', u'queri', u'represent', 'would', 'given', 'scorer']"
18,00:01:17.604,00:01:22.506,"['would', 'use', 'index', u'quickli', 'answer', 'user', u'queri', u'score']"
19,00:01:22.506,00:01:25.268,"[u'document', u'rank']"
20,00:01:25.268,00:01:27.628,"['the', u'result', 'given', 'user']"
21,00:01:27.628,00:01:32.033,"['and', 'user', 'look', u'result', u'provid', 'us', 'feedback']"
22,00:01:32.033,00:01:35.126,"['explicit', u'judgement', u'document', 'good']"
23,00:01:35.126,00:01:36.603,"[u'document', 'bad']"
24,00:01:36.603,00:01:43.353,"['Or', 'implicit', 'feedback', 'user', u'anyth', 'extra']"
25,00:01:43.353,00:01:46.187,"['end', 'user', 'look', u'result']"
26,00:01:46.187,00:01:49.193,"['skip', 'click', 'result', 'view']"
27,00:01:49.193,00:01:55.353,"['So', u'interact', u'signal', u'use', 'system', u'improv', u'rank']"
28,00:01:55.353,00:02:01.718,"[u'accuraci', u'assum', u'view', u'document', 'better', u'skip', u'one']"
29,00:02:01.718,00:02:05.678,"['So', 'search', u'engin', 'system', u'divid', 'three', u'part']"
30,00:02:05.678,00:02:10.738,"['the', 'first', 'part', u'index', 'second', 'part', 'scorer']"
31,00:02:10.738,00:02:16.458,"[u'respond', u'user', u'queri', 'third', 'part', 'feedback', u'mechan']"
32,00:02:16.458,00:02:21.072,"['now', u'typic', u'index', 'done', u'offlin', 'manner']"
33,00:02:21.072,00:02:24.179,"['pre', u'process', 'correct', 'data']"
34,00:02:24.179,00:02:29.168,"['build', u'inventori', 'index', u'introduc', 'moment']"
35,00:02:29.168,00:02:34.819,"['and', 'data', u'structur', u'use', u'onlin', u'modul', 'scorer']"
36,00:02:34.819,00:02:40.668,"[u'process', 'user', u'queri', u'dynam', u'quickli', u'gener', 'search', u'result']"
37,00:02:40.668,00:02:45.368,"['the', 'feedback', u'mechan', 'done', u'onlin', u'offlin', u'depend', 'method']"
38,00:02:45.368,00:02:50.367,"['the', u'implement', u'index', 'scorer', 'standard']"
39,00:02:50.367,00:02:55.378,"['main', 'topic', u'lectur', 'next', u'lectur']"
40,00:02:55.378,00:02:59.843,"['the', 'feedback', u'mechan', 'hand', u'variat']"
41,00:02:59.843,00:03:02.378,"[u'depend', 'method', u'use']"
42,00:03:02.378,00:03:08.818,"['So', u'usual', 'done', u'algorithm', u'specif', 'way']"
43,00:03:08.818,00:03:11.538,"['let', 'first', 'talk', u'token']"
44,00:03:11.538,00:03:16.578,"[u'tokern', u'normal', u'lexic', u'unit', 'form']"
45,00:03:16.578,00:03:21.368,"[u'semant', 'similar', u'word', u'match']"
46,00:03:21.368,00:03:25.133,"['now', u'languag', 'like', 'english', u'stem', 'often', u'use']"
47,00:03:25.133,00:03:29.548,"['map', u'inflect', u'form', u'word', 'root', 'form']"
48,00:03:29.548,00:03:33.047,"['So', u'exampl', u'comput', u'comput']"
49,00:03:33.047,00:03:37.078,"[u'comput', u'match', 'root', 'form', u'comput']"
50,00:03:37.078,00:03:43.628,"[u'thi', 'way', u'differ', u'form', u'comput', u'match']"
51,00:03:43.628,00:03:46.433,"['now', u'normal', 'good', 'idea']"
52,00:03:46.433,00:03:52.337,"[u'increas', u'coverag', u'document', u'match', u'queri']"
53,00:03:52.337,00:03:55.553,"['but', 'also', u'alway', u'benefici']"
54,00:03:55.553,00:04:00.914,"[u'sometim', 'subtlest', u'differ', u'comput']"
55,00:04:00.914,00:04:07.558,"[u'comput', 'might', 'still', 'suggest', u'differ', u'coverag', 'content']"
56,00:04:07.558,00:04:13.398,"['but', u'case', u'stem', u'seem', u'benefici']"
57,00:04:13.398,00:04:19.363,"['when', u'token', 'text', u'languag', u'exampl', u'chines', 'might']"
58,00:04:19.363,00:04:25.338,"['face', 'special', u'challeng', u'segment', 'text', 'find', 'word', u'boundari']"
59,00:04:25.338,00:04:29.697,"[u'becaus', u'obviou', u'boundari']"
60,00:04:29.697,00:04:32.928,"['space', u'separ']"
61,00:04:32.928,00:04:41.638,"['So', u'cours', 'use', u'languag', u'specif', u'process', u'techniqu']"
62,00:04:41.638,00:04:47.144,"[u'onc', u'token', 'would', 'index', 'text', u'document']"
63,00:04:47.144,00:04:52.748,"['convert', u'document', 'data', u'structur', u'enabl', 'faster', 'search']"
64,00:04:52.748,00:04:58.298,"['the', 'basic', 'idea', u'precomput', 'much', u'basic']"
65,00:04:58.298,00:05:02.848,"['So', u'commonli', u'use', 'index', 'call', u'invert', 'index']"
66,00:05:02.848,00:05:06.555,"['and', u'use', u'mani', 'search', u'engin']"
67,00:05:06.555,00:05:09.768,"['support', 'basic', 'search', u'algorithm']"
68,00:05:09.768,00:05:13.426,"[u'sometim', u'indic', u'exampl']"
69,00:05:13.426,00:05:19.498,"['document', 'index', 'might', u'need', 'order', 'support', 'feedback', 'like', 'I', 'said']"
70,00:05:19.498,00:05:24.106,"['and', 'kind', u'techniqu', u'realli', 'standard']"
71,00:05:24.106,00:05:28.828,"[u'vari', 'lot', u'accord', 'feedback', u'method']"
72,00:05:28.828,00:05:34.549,"['To', 'understand', 'want', 'use', u'invert', 'index', u'use']"
73,00:05:34.549,00:05:40.698,"['think', 'would', 'respond', u'singl', 'term', u'queri', u'quickli']"
74,00:05:40.698,00:05:44.938,"['So', 'want', 'use', 'time', 'think', u'paus', 'video']"
75,00:05:44.938,00:05:49.584,"['So', 'think', 'pre', u'process', 'text', 'data']"
76,00:05:49.584,00:05:54.768,"[u'quickli', 'respond', u'queri', 'one', 'word']"
77,00:05:54.768,00:05:58.466,"['where', 'thought', 'question']"
78,00:05:58.466,00:06:02.811,"['might', u'realiz', 'best', u'simpli', u'creat']"
79,00:06:02.811,00:06:07.718,"['list', u'document', 'match', u'everi', 'term', u'vocabulari']"
80,00:06:07.718,00:06:11.788,"['In', 'way', u'basic', 'pre', 'construct', u'answer']"
81,00:06:11.788,00:06:17.503,"['So', 'see', 'term', u'simpli', 'fetch', 'random', 'list', u'document']"
82,00:06:17.503,00:06:20.508,"['term', 'return', 'list', 'user']"
83,00:06:20.508,00:06:24.928,"['So', 'fastest', 'way', 'respond', u'singl', 'term']"
